Год выпуска,КПП,Мощность,Объём,Привод,Пробег,Руль,Тип кузова,Топливо,Цвет,Цена
2002.0,автомат,152.0,2.4,передний,201078.0,,седан,бензин,бордовый,6900.0
2004.0,автомат,,2.5,задний,165000.0,левый,седан,бензин,серебряный,8000.0
2000.0,автомат,150.0,2.3,передний,180000.0,правый,минивэн / бус,бензин,золотой,3500.0
2004.0,,,3.2,,200000.0,левый,седан,,черный,7500.0
2003.0,автомат,306.0,5.0,задний,174000.0,левый,седан,бензин,черный,9800.0
2000.0,механика,130.0,2.0,задний,227860.0,левый,минивэн / бус,дизель,белый,12500.0
2004.0,автомат,476.0,5.0,задний,174000.0,левый,универсал,бензин,черный,8300.0
2005.0,механика,,2.0,,181193.0,левый,универсал,бензин,серый,6500.0
1996.0,автомат,150.0,3.5,задний,414000.0,левый,седан,дизель,черный,3600.0
1998.0,,3.0,3.0,,77777.0,,минивэн / бус,,,2350.0
2011.0,типтроник,,3.5,,,левый,кроссовер,бензин,белый,34000.0
2005.0,автомат,233.0,3.3,постоянный полный,139000.0,левый,кроссовер,бензин,серебряный,15500.0
2003.0,автомат,213.0,3.0,передний,165161.0,,седан,бензин,,8300.0
2002.0,автомат,170.0,2.2,задний,7777.0,левый,седан,бензин,серебряный,4999.0
2001.0,автомат,2.0,,передний,7777.0,правый,универсал,бензин,баклажан,3800.0
2010.0,автомат,306.0,3.0,постоянный полный,160000.0,левый,кроссовер,бензин,мокрый асфальт,21000.0
2004.0,автомат,152.0,2.0,передний,154000.0,правый,универсал,бензин,серебряный,5200.0
2006.0,автомат,,2.0,,,правый,минивэн / бус,бензин,серебряный,5200.0
,автомат,,,задний,,левый,седан,бензин,,6000.0
2004.0,автомат,220.0,3.0,задний,200000.0,правый,универсал,бензин,серебряный,3800.0
2007.0,автомат,,2.4,передний,,левый,седан,бензин,мокрый асфальт,9500.0
2003.0,автомат,,1.0,передний,75250.0,правый,хэтчбек,бензин,,3350.0
2004.0,вариатор,130.0,1.7,передний,140000.0,правый,хэтчбек,бензин,белый жемчуг,4900.0
2004.0,автомат,,3.3,,,левый,седан,бензин,серебряный,9100.0
2001.0,автомат,201.0,3.0,постоянный полный,181118.0,правый,кроссовер,бензин,синий,6500.0
2010.0,механика,,2.5,,138000.0,левый,внедорожник / пикап,,темно-синий,9000.0
1993.0,механика,90.0,1.8,передний,,левый,хэтчбек,бензин,баклажан,2214.0
2008.0,механика,,22.0,задний,300000.0,левый,универсал,дизель,белый,12000.0
1994.0,механика,,2.6,передний,,левый,универсал,бензин,черный,2571.0
2004.0,вариатор,,1.3,передний,190.0,правый,хэтчбек,бензин,серебряный,2857.0
2000.0,автомат,115.0,2.0,передний,,левый,универсал,бензин,красный,4500.0
2003.0,автомат,204.0,3.0,постоянный полный,109823.0,правый,кроссовер,бензин,синий,8800.0
2003.0,автомат,156.0,2.5,постоянный полный,,левый,седан,бензин,серебряный,4100.0
2000.0,автомат,,2.0,передний,,левый,седан,газ-бензин,золотой,5200.0
2008.0,автомат,,4.0,постоянный полный,155000.0,левый,внедорожник / пикап,газ-бензин,черный,32000.0
2002.0,автомат,,1.6,передний,197000.0,левый,хэтчбек,бензин,серебряный,4900.0
2010.0,,,,,100.0,,хэтчбек,,,4.0
2007.0,автомат,276.0,3.5,постоянный полный,,левый,кроссовер,бензин,,17000.0
2003.0,,,1.6,,,левый,минивэн / бус,бензин,,3800.0
2013.0,автомат,222.0,2.5,постоянный полный,,левый,кроссовер,бензин,,20000.0
1995.0,механика,126.0,1.8,передний,,левый,седан,бензин,белый,2000.0
2004.0,механика,300.0,2.0,постоянный полный,170.0,правый,седан,бензин,белый,8500.0
2004.0,,,1.3,,99000.0,,хэтчбек,,серый,4900.0
2002.0,механика,,2.0,задний,,левый,седан,бензин,серебряный,3900.0
2003.0,автомат,,,передний,,правый,минивэн / бус,дизель,вишневый,350.0
1997.0,автомат,,2.0,передний,,левый,седан,бензин,серебряный,3500.0
2005.0,автомат,215.0,3.0,передний,208.0,правый,седан,бензин,черный,7500.0
2008.0,автомат,170.0,2.0,задний,129000.0,левый,седан,бензин,серебряный,7700.0
2004.0,автомат,295.0,4.4,постоянный полный,,левый,внедорожник / пикап,бензин,белый жемчуг,18800.0
1995.0,механика,,1.6,передний,180000.0,левый,хэтчбек,бензин,белый,1857.0
2007.0,типтроник,,,,,левый,седан,бензин,черный,16999.0
2003.0,автомат,,2.4,передний,,правый,минивэн / бус,бензин,белый жемчуг,6400.0
2008.0,автомат,376.0,5.7,постоянный полный,136000.0,левый,седан,бензин,черный,42000.0
2007.0,автомат,388.0,5.5,задний,127700.0,левый,седан,бензин,черный,15500.0
1997.0,автомат,279.0,4.2,задний,258528.0,левый,седан,бензин,серый,3300.0
2002.0,автомат,201.0,3.0,постоянный полный,217.0,левый,внедорожник / пикап,бензин,серебряный,9900.0
2004.0,автомат,,,передний,,левый,универсал,бензин,серебряный,4700.0
1998.0,автомат,150.0,2.7,,,правый,внедорожник / пикап,бензин,белый,6599.0
2003.0,вариатор,86.0,1.3,передний,206000.0,правый,хэтчбек,бензин,серебряный,3600.0
,,,,,,левый,универсал,,,155000.0
2003.0,автомат,250.0,3.0,передний,,правый,седан,бензин,серебряный,5400.0
2003.0,автомат,,,задний,,левый,седан,бензин,,4000.0
,механика,,,задний,256461.0,левый,купе,дизель,,6500.0
,механика,,,задний,256467.0,левый,,дизель,,6500.0
,механика,,,задний,256467.0,левый,,дизель,,6500.0
2001.0,автомат,220.0,3.0,постоянный полный,,правый,кроссовер,бензин,черный,5900.0
2002.0,автомат,160.0,2.0,задний,,правый,седан,бензин,белый жемчуг,5000.0
2001.0,автомат,160.0,2.4,полный подключаемый,270.0,правый,минивэн / бус,бензин,серебряный,5000.0
2002.0,автомат,160.0,2.4,передний,225800.0,правый,минивэн / бус,бензин,белый жемчуг,4800.0
2002.0,механика,125.0,2.0,постоянный полный,155000.0,,универсал,бензин,зеленый,4500.0
2004.0,механика,136.0,2.0,передний,,левый,хэтчбек,дизель,серый,3400.0
2003.0,автомат,,2.0,,,левый,минивэн / бус,бензин,серебряный,7500.0
1989.0,механика,,,передний,,,седан,бензин,бежевый,1428.0
2011.0,механика,,1.6,задний,59000.0,левый,седан,бензин,серебряный,2642.0
2003.0,,,2.0,постоянный полный,200000.0,правый,минивэн / бус,,серебряный,5000.0
1999.0,механика,222222.0,2.0,передний,22222222.0,левый,хэтчбек,бензин,серебряный,1400.0
2004.0,автомат,,2.4,передний,136000.0,левый,седан,бензин,белый,8300.0
2003.0,автомат,152.0,2.0,передний,171000.0,правый,универсал,бензин,черный,4500.0
2000.0,автомат,,,,,левый,седан,бензин,синий,2700.0
2009.0,автомат,272.0,3.0,постоянный полный,126000.0,левый,внедорожник / пикап,бензин,черный,17500.0
2001.0,автомат,224.0,3.2,задний,178000.0,левый,седан,бензин,голубой,8000.0
2004.0,автомат,160.0,2.4,передний,300000.0,правый,минивэн / бус,газ-бензин,белый жемчуг,7500.0
2004.0,автомат,160.0,2.4,передний,300000.0,правый,минивэн / бус,газ-бензин,белый жемчуг,7500.0
1994.0,автомат,,3.2,полный подключаемый,,левый,внедорожник / пикап,бензин,смарагд,2571.0
2005.0,,,5.5,,,правый,седан,бензин,,14800.0
1994.0,механика,136.0,2.0,передний,,левый,универсал,бензин,серый,135000.0
2003.0,автомат,,2.0,передний,,правый,седан,бензин,вишневый,6500.0
2000.0,автомат,,2.5,,,правый,седан,бензин,черный,3500.0
2006.0,автомат,,,передний,,левый,хэтчбек,бензин,серебряный,9300.0
1999.0,механика,,2.9,задний,300000.0,левый,минивэн / бус,дизель,красный,11500.0
1998.0,механика,75.0,1.4,передний,222222.0,левый,хэтчбек,бензин,серебряный,3300.0
2000.0,автомат,204.0,2.8,задний,197000.0,левый,седан,бензин,черный,5300.0
2003.0,типтроник,,2.7,задний,275968.0,левый,минивэн / бус,дизель,синий,8300.0
2002.0,механика,136.0,1.9,передний,22.0,левый,седан,бензин,черный,3571.0
2002.0,автомат,,2.5,передний,141000.0,левый,минивэн / бус,дизель,белый,8000.0
2004.0,типтроник,150.0,2.2,задний,,левый,седан,дизель,серебряный,5600.0
2003.0,механика,150.0,2.0,передний,,левый,универсал,бензин,черный,3500.0
1995.0,механика,,2.0,передний,,левый,универсал,бензин,красный,1142.0
2001.0,механика,,1.6,передний,,левый,универсал,дизель,голубой,2571.0
2000.0,автомат,,2.0,задний,123456.0,правый,седан,бензин,серебряный,3700.0
2004.0,автомат,170.0,3.0,полный подключаемый,,левый,внедорожник / пикап,дизель,черный,8000.0
2003.0,автомат,240.0,3.5,полный подключаемый,220000.0,правый,внедорожник / пикап,газ-бензин,черный,6500.0
1999.0,автомат,,4.4,задний,177000.0,левый,седан,бензин,серебряный,3500.0
2005.0,механика,115.0,1.6,передний,14000.0,левый,минивэн / бус,бензин,синий,5800.0
1986.0,механика,,1.8,задний,137000.0,левый,универсал,бензин,,90000.0
2005.0,,,,передний,151000.0,правый,седан,бензин,серебряный,7700.0
1998.0,автомат,,2.8,передний,,левый,седан,бензин,зеленый,1600.0
1996.0,автомат,150.0,2.3,передний,11111111.0,правый,минивэн / бус,бензин,серебряный,2700.0
1996.0,механика,75.0,1.0,передний,189.0,левый,купе,дизель,мокрый асфальт,600.0
2006.0,автомат,249.0,3.0,задний,138000.0,левый,седан,бензин,серый,12900.0
2007.0,механика,5.0,0.8,передний,1300.0,левый,хэтчбек,бензин,синий,2.0
2002.0,автомат,1500.0,,,,правый,хэтчбек,бензин,черный,4000.0
1999.0,автомат,,4.4,задний,177000.0,левый,седан,бензин,серебряный,3400.0
1999.0,автомат,200.0,2.5,передний,,правый,седан,бензин,черный,2700.0
1996.0,автомат,80.0,1.1,полный подключаемый,200.0,правый,внедорожник / пикап,бензин,черный,2500.0
1999.0,автомат,200.0,2.5,передний,12345.0,,седан,бензин,черный,2800.0
1999.0,автомат,200.0,2.5,передний,12345.0,,седан,бензин,черный,2800.0
1998.0,механика,,2.5,задний,,правый,седан,бензин,,2000.0
1988.0,механика,,,,,левый,седан,дизель,серебряный,2428.0
2011.0,автомат,181.0,2.5,передний,106000.0,левый,седан,бензин,смарагд,16300.0
2003.0,автомат,,1.8,передний,190000.0,левый,хэтчбек,бензин,темно-синий,4500.0
2008.0,механика,,2.2,передний,,левый,минивэн / бус,дизель,белый,16500.0
2005.0,автомат,220.0,3.0,постоянный полный,180.0,левый,внедорожник / пикап,бензин,черный,12400.0
2002.0,автомат,177.0,2.7,задний,227500.0,левый,седан,дизель,серебряный,7300.0
1999.0,автомат,,2.4,задний,,,седан,бензин,темно-синий,3500.0
1995.0,механика,186.0,2.0,задний,,левый,седан,бензин,серебряный,3000.0
2001.0,автомат,,2.4,передний,,правый,минивэн / бус,,серебряный,4800.0
2004.0,автомат,160.0,2000.0,постоянный полный,113000.0,правый,внедорожник / пикап,бензин,серебряный,6900.0
1987.0,механика,,1.8,задний,117000.0,,минивэн / бус,бензин,красный,1300.0
2007.0,типтроник,110.0,1.6,передний,100000.0,левый,седан,бензин,черный,7500.0
1994.0,механика,136.0,2.0,задний,,левый,седан,бензин,серый,3142.0
1988.0,механика,,3.0,задний,,левый,седан,дизель,мокрый асфальт,2400.0
2001.0,автомат,160.0,2.0,постоянный полный,,правый,седан,бензин,белый жемчуг,310500.0
,,,,,1999999.0,,,,,5500.0
1991.0,механика,90.0,1.8,передний,,левый,универсал,бензин,серебряный,1900.0
1997.0,,,,,,правый,универсал,,,2500.0
1992.0,механика,150.0,2.6,передний,,левый,седан,бензин,,2800.0
2003.0,автомат,1.0,2.3,постоянный полный,175000.0,правый,универсал,бензин,серый,4285.0
2004.0,автомат,230.0,3.3,постоянный полный,146.0,левый,кроссовер,бензин,белый,13000.0
1989.0,механика,,1.6,передний,320000.0,левый,седан,бензин,красный,1285.0
2000.0,автомат,,2.5,передний,270000.0,правый,седан,бензин,белый,4000.0
1998.0,автомат,,2.4,полный подключаемый,,правый,минивэн / бус,бензин,белый жемчуг,1142.0
2002.0,автомат,125.0,1.7,передний,,правый,минивэн / бус,бензин,черный,3300.0
2001.0,механика,220.0,2.2,передний,116000.0,правый,седан,бензин,красный,4700.0
1992.0,автомат,230.0,2.3,задний,,,седан,бензин,черный,1857.0
1997.0,автомат,231.0,3.2,задний,198898.0,левый,седан,бензин,белый,5800.0
2001.0,,,,,,левый,седан,бензин,,1385.0
2004.0,автомат,98.0,1.6,передний,165000.0,левый,минивэн / бус,бензин,серебряный,4900.0
2018.0,автомат,273.0,3.5,постоянный полный,1.0,левый,кроссовер,бензин,пурпурный,74000.0
2003.0,механика,116.0,2.0,передний,174500.0,левый,универсал,дизель,серебряный,6500.0
2001.0,автомат,129.0,1.8,передний,,правый,седан,бензин,вишневый,3200.0
2000.0,автомат,143.0,2.1,задний,,левый,универсал,дизель,серебряный,4200.0
2018.0,автомат,290.0,3.5,постоянный полный,1.0,левый,кроссовер,бензин,белый,83000.0
2018.0,автомат,273.0,3.5,постоянный полный,1.0,левый,кроссовер,бензин,пурпурный,63000.0
1987.0,механика,,1.3,передний,250000.0,,хэтчбек,бензин,бежевый,785.0
2014.0,типтроник,208.0,2.4,передний,105553.0,левый,седан,бензин,красный,27215.0
,механика,,,передний,,,,дизель,,3300.0
1998.0,автомат,,,,,,седан,бензин,белый,8300.0
2010.0,автомат,300.0,3.7,постоянный полный,137937.0,левый,кроссовер,бензин,коричневый,22487.0
2014.0,автомат,,,постоянный полный,13000.0,левый,внедорожник / пикап,бензин,черный,76000.0
2014.0,автомат,273.0,3.5,постоянный полный,95550.0,левый,кроссовер,бензин,черный,24764.0
2002.0,механика,,1800.0,передний,,левый,седан,бензин,синий,2000.0
2009.0,автомат,240.0,2.3,постоянный полный,90965.0,левый,кроссовер,бензин,белый,17584.0
2009.0,автомат,300.0,3.7,полный подключаемый,161000.0,левый,кроссовер,бензин,черный,14777.0
1999.0,автомат,,4.4,задний,177000.0,левый,седан,бензин,серебряный,3450.0
2008.0,автомат,300.0,3.7,полный подключаемый,220970.0,левый,кроссовер,бензин,коричневый,14257.0
2009.0,автомат,181.0,2.7,передний,150000.0,левый,кроссовер,бензин,белый,13500.0
2002.0,автомат,152.0,2.4,передний,155000.0,левый,седан,бензин,зеленый,6800.0
2008.0,автомат,300.0,3.7,полный подключаемый,141000.0,левый,кроссовер,бензин,белый,13872.0
2007.0,автомат,240.0,2.3,постоянный полный,182000.0,левый,кроссовер,бензин,черный,11368.0
2003.0,автомат,138.0,2.0,постоянный полный,,правый,универсал,бензин,черный,3000.0
2002.0,автомат,150.0,2.3,передний,,правый,минивэн / бус,бензин,белый жемчуг,4700.0
2011.0,автомат,367.0,5.7,постоянный полный,114500.0,,внедорожник / пикап,бензин,белый жемчуг,44000.0
2016.0,автомат,181.0,2.5,передний,29980.0,левый,седан,бензин,черный,26868.0
2000.0,механика,110.0,2.2,передний,238977.0,левый,минивэн / бус,дизель,серый,60000.0
2004.0,автомат,228.0,3.3,передний,220000.0,левый,седан,бензин,серебряный,9000.0
2005.0,автомат,218.0,3.0,постоянный полный,225000.0,левый,кроссовер,дизель,черный,11200.0
2003.0,автомат,223.0,3.0,передний,,левый,внедорожник / пикап,бензин,черный,10300.0
2010.0,механика,89.0,1.4,передний,95000.0,левый,хэтчбек,бензин,черный,2400.0
2000.0,автомат,184.0,2.9,задний,,левый,седан,дизель,мокрый асфальт,6900.0
2012.0,автомат,309.0,4.6,постоянный полный,163000.0,левый,внедорожник / пикап,бензин,белый,43777.0
1999.0,автомат,,1.8,передний,,левый,универсал,бензин,зеленый,3955.0
1999.0,автомат,,1.8,передний,,левый,универсал,бензин,зеленый,3955.0
2008.0,автомат,150.0,2.0,постоянный полный,128377.0,левый,кроссовер,бензин,синий,15500.0
2015.0,автомат,181.0,2.5,передний,54292.0,левый,седан,бензин,белый,24590.0
2001.0,механика,,18.0,передний,21544.0,левый,универсал,бензин,черный,4571.0
1999.0,автомат,136.0,2.0,задний,,левый,седан,бензин,смарагд,5450.0
2014.0,автомат,150.0,2.0,постоянный полный,117064.0,левый,кроссовер,бензин,коричневый,25640.0
2000.0,,,3.2,,,левый,седан,газ-бензин,белый,5800.0
2013.0,автомат,180.0,2.5,полный подключаемый,113551.0,левый,кроссовер,бензин,черный,23890.0
2008.0,автомат,166.0,2.4,постоянный полный,127520.0,левый,кроссовер,бензин,серебряный,15835.0
2002.0,автомат,87.0,1.3,передний,555555555555555.0,правый,хэтчбек,бензин,серебряный,3700.0
2008.0,автомат,166.0,2.4,постоянный полный,179969.0,левый,кроссовер,бензин,серебряный,14697.0
2008.0,автомат,150.0,2.0,постоянный полный,180216.0,левый,кроссовер,бензин,серый,13996.0
1994.0,автомат,136.0,2.0,задний,370.0,левый,седан,бензин,серебряный,3000.0
1987.0,механика,89.0,1.8,передний,,левый,седан,бензин,золотой,2600.0
2015.0,автомат,181.0,2.5,передний,52616.0,левый,седан,бензин,серебряный,23450.0
2002.0,автомат,130.0,2.0,передний,,левый,универсал,бензин,черный,3800.0
2004.0,механика,51.0,0.8,передний,190000.0,левый,хэтчбек,бензин,белый жемчуг,1428.0
2002.0,механика,,2.4,передний,,правый,седан,бензин,синий,5500.0
1995.0,,194.0,2.5,задний,,левый,седан,бензин,бордовый,3300.0
1998.0,механика,,2.9,задний,,левый,минивэн / бус,дизель,бежевый,8200.0
1981.0,механика,69.0,1.3,задний,,левый,седан,бензин,бежевый,428.0
2004.0,автомат,233.0,3.3,постоянный полный,140.0,левый,кроссовер,бензин,серебряный,12900.0
2004.0,автомат,233.0,3.3,постоянный полный,150.0,левый,кроссовер,бензин,черный,12800.0
2010.0,автомат,,4.0,постоянный полный,142000.0,левый,внедорожник / пикап,бензин,белый жемчуг,33000.0
2003.0,автомат,273.0,4.7,постоянный полный,,левый,внедорожник / пикап,бензин,серебряный,17.0
2010.0,автомат,277.0,3.5,полный подключаемый,500000.0,левый,кроссовер,бензин,серебряный,22500.0
2011.0,автомат,277.0,3.5,передний,168379.0,левый,седан,бензин,черный,17849.0
2013.0,вариатор,147.0,1.8,передний,85974.0,левый,минивэн / бус,бензин,мокрый асфальт,16799.0
2003.0,,1.1111111111111112e+16,18.0,,4155555.0,,минивэн / бус,бензин,,4000.0
2009.0,типтроник,252.0,3.5,задний,,левый,седан,бензин,черный,21000.0
2005.0,автомат,,1.0,,,правый,хэтчбек,бензин,белый,5100.0
2000.0,автомат,170.0,2.5,задний,170000.0,левый,седан,бензин,серебряный,4499.0
2013.0,автомат,122.0,1.6,передний,20654.0,левый,седан,бензин,белый,15660.0
2004.0,автомат,178.0,2.3,передний,269.0,правый,универсал,бензин,серый,3800.0
2013.0,вариатор,122.0,1.6,передний,112245.0,левый,седан,бензин,мокрый асфальт,15148.0
2011.0,вариатор,147.0,1.8,передний,50637.0,левый,седан,бензин,мокрый асфальт,15047.0
1996.0,автомат,125.0,1.8,передний,361301.0,правый,седан,бензин,серый,1642.0
1996.0,автомат,186.0,2.0,задний,160000.0,правый,седан,бензин,серебряный,2285.0
1998.0,механика,122.0,1.8,задний,,,седан,бензин,бордовый,4285.0
2014.0,автомат,585.0,5.5,постоянный полный,68682.0,левый,седан,бензин,черный,81500.0
2004.0,механика,80.0,1.4,передний,55000.0,левый,хэтчбек,бензин,голубой,4250.0
2010.0,автомат,150.0,2.0,постоянный полный,85785.0,левый,кроссовер,бензин,серебряный,17235.0
1990.0,механика,136.0,2.3,задний,,левый,седан,бензин,белый,2800.0
1990.0,механика,136.0,2.3,задний,,левый,седан,бензин,белый,2800.0
2001.0,механика,,2.2,задний,,левый,минивэн / бус,дизель,бордовый,7200.0
2002.0,автомат,215.0,3.0,передний,185.0,правый,седан,бензин,баклажан,5500.0
2003.0,автомат,83.0,1.3,передний,130000.0,правый,хэтчбек,бензин,серебряный,3400.0
2006.0,автомат,230.0,2.5,постоянный полный,126000.0,левый,кроссовер,газ-бензин,синий,8500.0
1998.0,механика,,3.0,,,левый,минивэн / бус,дизель,синий,8500.0
2009.0,механика,114.0,1.6,передний,84000.0,левый,кроссовер,бензин,фиолетовый,10508.0
1986.0,механика,300.0,300.0,задний,150.0,левый,минивэн / бус,,красный,2500.0
2010.0,вариатор,141.0,2.0,передний,125580.0,левый,кроссовер,бензин,красный,12964.0
2002.0,автомат,87.0,1.3,передний,117000.0,правый,хэтчбек,бензин,дипломат,5100.0
2002.0,механика,,2.2,задний,475000.0,левый,минивэн / бус,дизель,белый,8500.0
2003.0,автомат,177.0,2.6,задний,227000.0,,седан,бензин,серебряный,6300.0
2001.0,автомат,250.0,2.0,постоянный полный,200000.0,правый,универсал,бензин,белый,3000.0
2010.0,вариатор,141.0,2.0,передний,81131.0,левый,кроссовер,бензин,красный,13034.0
1986.0,механика,2.0,2.0,передний,47269.0,левый,хэтчбек,дизель,голубой,714.0
2010.0,механика,114.0,1.6,передний,97000.0,левый,кроссовер,бензин,красный,10402.0
1994.0,механика,192.0,2.5,задний,,левый,седан,бензин,темно-синий,4000.0
2010.0,вариатор,141.0,2.0,передний,92000.0,левый,кроссовер,бензин,черный,12508.0
2010.0,вариатор,141.0,2.0,передний,89200.0,левый,кроссовер,бензин,серый,13365.0
2002.0,автомат,160.0,2.4,передний,1795412.0,правый,минивэн / бус,бензин,,4900.0
2000.0,типтроник,,2.0,задний,,левый,седан,бензин,смарагд,5300.0
2006.0,автомат,,5.5,задний,,левый,седан,бензин,,11000.0
2010.0,механика,114.0,1.6,передний,91000.0,левый,кроссовер,бензин,черный,10753.0
2010.0,механика,106.0,1.5,передний,150169.0,левый,кроссовер,дизель,белый,11567.0
2010.0,вариатор,141.0,2.0,передний,94956.0,левый,кроссовер,бензин,серебряный,11830.0
2010.0,вариатор,141.0,2.0,передний,76273.0,левый,кроссовер,бензин,синий,11999.0
1992.0,,,2.3,задний,,,седан,,серый,3285.0
2000.0,вариатор,105.0,1.5,передний,246.0,правый,хэтчбек,бензин,синий,2400.0
2010.0,вариатор,141.0,2.0,передний,97000.0,левый,кроссовер,бензин,черный,13876.0
2010.0,механика,114.0,1.6,передний,121000.0,левый,кроссовер,бензин,черный,11480.0
2010.0,вариатор,141.0,2.0,полный подключаемый,130000.0,левый,кроссовер,бензин,черный,13139.0
2005.0,автомат,169.0,2.4,постоянный полный,145000.0,левый,кроссовер,бензин,серый,9000.0
2010.0,вариатор,141.0,2.0,передний,97400.0,левый,кроссовер,бензин,красный,11981.0
2012.0,автомат,172.0,2.5,постоянный полный,64000.0,левый,кроссовер,бензин,черный,11900.0
2010.0,вариатор,141.0,2.0,передний,111626.0,левый,кроссовер,бензин,белый,12174.0
2002.0,механика,1999.0,1.9,задний,123456.0,левый,универсал,дизель,вишневый,3600.0
2000.0,автомат,,2.7,постоянный полный,,левый,седан,бензин,черный,4200.0
2003.0,вариатор,,1.3,передний,206000.0,правый,хэтчбек,бензин,серебряный,3700.0
2011.0,механика,114.0,1.6,передний,191000.0,левый,кроссовер,бензин,серый,10708.0
2002.0,механика,114.0,1.8,передний,,левый,седан,бензин,серый,2200.0
2005.0,автомат,155.0,2.0,передний,150000.0,,минивэн / бус,бензин,золотой,6800.0
2011.0,вариатор,141.0,2.0,полный подключаемый,104000.0,левый,кроссовер,бензин,фиолетовый,13778.0
2011.0,вариатор,141.0,2.0,передний,102207.0,левый,кроссовер,бензин,белый,12339.0
2007.0,автомат,300.0,4.4,постоянный полный,160000.0,левый,внедорожник / пикап,бензин,черный,13000.0
